originating-authority-charge-identifier,number_of_polygons,number_of_points,number_of_lines,avg_area_(m^3),area_standard_derivation_(+-),smallest_area_(m^3),largest_area_(m^3)
13908,1,0,0,30483.630213640594,,30483.630213640594,30483.630213640594
13909,1,0,0,30483.630213640594,,30483.630213640594,30483.630213640594
13911,1,0,0,31427.929443181925,,31427.929443181925,31427.929443181925
13913,1,0,0,65.00634450738544,,65.00634450738544,65.00634450738544
13914,1,0,0,191.38100743141248,,191.38100743141248,191.38100743141248
13915,1,0,0,4647.401451796877,,4647.401451796877,4647.401451796877
13916,1,0,0,5423.624100006946,,5423.624100006946,5423.624100006946
13919,1,0,0,19761.431799969025,,19761.431799969025,19761.431799969025
13920,1,0,0,83.92849999656063,,83.92849999656063,83.92849999656063
13921,1,0,0,113.7095339974792,,113.7095339974792,113.7095339974792
13924,1,0,0,2370.9276770919855,,2370.9276770919855,2370.9276770919855
13926,1,0,0,12370.483979513892,,12370.483979513892,12370.483979513892
13927,1,0,0,30460.629250024405,,30460.629250024405,30460.629250024405
13928,1,0,0,24663.94786836205,,24663.94786836205,24663.94786836205
13930,1,0,0,19064.956612485083,,19064.956612485083,19064.956612485083
13931,1,0,0,1586.7642823660008,,1586.7642823660008,1586.7642823660008
13937,1,0,0,3054.5466849915183,,3054.5466849915183,3054.5466849915183
13938,1,0,0,22513.477231026493,,22513.477231026493,22513.477231026493
13941,1,0,0,22513.477231026493,,22513.477231026493,22513.477231026493
13949,1,0,0,309.71719200464065,,309.71719200464065,309.71719200464065
13950,1,0,0,12370.483979513892,,12370.483979513892,12370.483979513892
13957,1,0,0,12370.483979513892,,12370.483979513892,12370.483979513892
13961,1,0,0,70.39800000053498,,70.39800000053498,70.39800000053498
13962,1,0,0,21039.440608993234,,21039.440608993234,21039.440608993234
13965,1,0,0,94.29299999262747,,94.29299999262747,94.29299999262747
13973,1,0,0,21210.799899926027,,21210.799899926027,21210.799899926027
13974,1,0,0,22758.31615853549,,22758.31615853549,22758.31615853549
13976,1,0,0,1289.2412444913218,,1289.2412444913218,1289.2412444913218
13978,1,0,0,197.5614555057234,,197.5614555057234,197.5614555057234
13979,6,0,0,82.7785215788283,30.946881852309776,46.95873999752986,132.05899999620152
13980,1,0,0,7880.800186403369,,7880.800186403369,7880.800186403369
14016,1,0,0,445332.6274980013,,445332.6274980013,445332.6274980013
14017,1,0,0,520.2647925006711,,520.2647925006711,520.2647925006711
14019,1,0,0,204.96945000819068,,204.96945000819068,204.96945000819068
14020,1,0,0,191.401657200391,,191.401657200391,191.401657200391
14026,1,0,0,457.28811601706246,,457.28811601706246,457.28811601706246
14028,1,0,0,172.48844265944157,,172.48844265944157,172.48844265944157
14034,1,0,0,13323.281378065709,,13323.281378065709,13323.281378065709
14035,1,0,0,2583.5414219700147,,2583.5414219700147,2583.5414219700147
14037,1,0,0,129.92675000396153,,129.92675000396153,129.92675000396153
14038,0,12,0,,,,
14040,1,0,0,895.8765499793988,,895.8765499793988,895.8765499793988
14042,1,0,0,3574.819652457118,,3574.819652457118,3574.819652457118
14043,2,0,0,25573.53817655835,19520.31571772083,11770.590561655605,39376.4857914611
14044,2,0,0,25564.90911932114,19532.51904749619,11753.332447181177,39376.4857914611
14045,2,0,0,25581.19798891414,19509.48310720204,11785.910186367182,39376.4857914611
14046,2,0,0,25563.578339486983,19534.401054386184,11750.67088751287,39376.4857914611
14047,1,0,0,7901.334063980496,,7901.334063980496,7901.334063980496
14048,1,0,0,8249.894230987558,,8249.894230987558,8249.894230987558
14050,1,0,0,48.760000005559995,,48.760000005559995,48.760000005559995
14051,0,5,0,,,,
14052,1,0,0,449.4488999937193,,449.4488999937193,449.4488999937193
14054,1,0,0,1004.3582449977321,,1004.3582449977321,1004.3582449977321
14056,1,0,0,6236.491649449953,,6236.491649449953,6236.491649449953
14057,1,0,0,45.56920300205826,,45.56920300205826,45.56920300205826
14058,1,0,0,645.6569170316346,,645.6569170316346,645.6569170316346
14059,1,0,0,441.03152649595586,,441.03152649595586,441.03152649595586
14061,1,0,0,142.1489009912348,,142.1489009912348,142.1489009912348
14062,1,0,0,131.07990699344154,,131.07990699344154,131.07990699344154
14064,1,0,0,232.6319016353053,,232.6319016353053,232.6319016353053
14065,1,0,0,171.7410000093464,,171.7410000093464,171.7410000093464
14066,1,0,0,41.67999999869906,,41.67999999869906,41.67999999869906
14067,1,0,0,45.79789999784531,,45.79789999784531,45.79789999784531
14068,1,0,0,526.0334809793021,,526.0334809793021,526.0334809793021
14069,0,3,0,,,,
14072,1,0,0,411.2061615166805,,411.2061615166805,411.2061615166805
14073,1,0,0,5987.679985023257,,5987.679985023257,5987.679985023257
14074,1,0,0,693.5350280228591,,693.5350280228591,693.5350280228591
14075,1,0,0,49.64619099304152,,49.64619099304152,49.64619099304152
14076,1,0,0,99.87543800783729,,99.87543800783729,99.87543800783729
14077,1,0,0,78.95805000266867,,78.95805000266867,78.95805000266867
14078,1,0,0,119.70092199848786,,119.70092199848786,119.70092199848786
14083,1,0,0,141.65826201408376,,141.65826201408376,141.65826201408376
14084,1,0,0,265.1557100216939,,265.1557100216939,265.1557100216939
14085,1,0,0,17761.08827200748,,17761.08827200748,17761.08827200748
14086,1,0,0,101.56950000055612,,101.56950000055612,101.56950000055612
14087,1,0,0,172.4751244863829,,172.4751244863829,172.4751244863829
14091,1,0,0,407.867700012819,,407.867700012819,407.867700012819
14092,4,0,0,11977.815863120373,15009.88527408109,1703.470967887949,34221.02124300846
14093,4,0,0,11977.815863120373,15009.88527408109,1703.470967887949,34221.02124300846
14094,4,0,0,11977.815863120373,15009.88527408109,1703.470967887949,34221.02124300846
14095,2,0,0,11073.086576058904,5982.388706459197,6842.898954027787,15303.274198090021
14096,1,0,0,175.1850000138546,,175.1850000138546,175.1850000138546
14097,1,0,0,73.39710000390222,,73.39710000390222,73.39710000390222
14099,1,0,0,50.09199999330679,,50.09199999330679,50.09199999330679
14101,1,0,0,696.7865365087481,,696.7865365087481,696.7865365087481
14104,1,0,0,314.983399984488,,314.983399984488,314.983399984488
14105,1,0,0,58.05189999675453,,58.05189999675453,58.05189999675453
14107,1,0,0,199.03899999548327,,199.03899999548327,199.03899999548327
14108,1,0,0,104.74200000898794,,104.74200000898794,104.74200000898794
14109,1,0,0,226.32700849417847,,226.32700849417847,226.32700849417847
14110,1,0,0,4122.928890668935,,4122.928890668935,4122.928890668935
14111,1,0,0,480.11098497269137,,480.11098497269137,480.11098497269137
14112,1,0,0,88.40568149957365,,88.40568149957365,88.40568149957365
14113,1,0,0,126.22087849774142,,126.22087849774142,126.22087849774142
14114,2,0,0,2.5558484992937087,3.598478429302237,0.011339999980580759,5.100356998606837
14115,1,0,0,271.9737779950058,,271.9737779950058,271.9737779950058
14116,2,0,0,301075.8939548569,205455.6370254489,155796.81978116004,446354.9681285537
14117,1,0,0,877.3994999785366,,877.3994999785366,877.3994999785366
14118,1,0,0,109811.60702702327,,109811.60702702327,109811.60702702327
14119,1,0,0,470.0483805042776,,470.0483805042776,470.0483805042776
14120,1,0,0,128.05734199077682,,128.05734199077682,128.05734199077682
14121,1,0,0,252.72121600995854,,252.72121600995854,252.72121600995854
14122,1,0,0,86.46496149843097,,86.46496149843097,86.46496149843097
14123,1,0,0,261.03733100357766,,261.03733100357766,261.03733100357766
14124,1,0,0,405.1137689858371,,405.1137689858371,405.1137689858371
14125,1,0,0,91.78611749518663,,91.78611749518663,91.78611749518663
14126,1,0,0,150.10335350007574,,150.10335350007574,150.10335350007574
14127,1,0,0,212.36020951366876,,212.36020951366876,212.36020951366876
14128,1,0,0,255.9689145126305,,255.9689145126305,255.9689145126305
14129,1,0,0,438.76189948676665,,438.76189948676665,438.76189948676665
14130,1,0,0,608.4216339998394,,608.4216339998394,608.4216339998394
14131,1,0,0,451.73090847771505,,451.73090847771505,451.73090847771505
14132,1,0,0,560.5315365026095,,560.5315365026095,560.5315365026095
14133,1,0,0,320.0541819908549,,320.0541819908549,320.0541819908549
14134,1,0,0,413.5623744689927,,413.5623744689927,413.5623744689927
14135,1,0,0,516.0114469940646,,516.0114469940646,516.0114469940646
14136,1,0,0,211.59856449075588,,211.59856449075588,211.59856449075588
14137,1,0,0,399.8840805152995,,399.8840805152995,399.8840805152995
14138,1,0,0,316.89310800036975,,316.89310800036975,316.89310800036975
14139,1,0,0,430.43876600629727,,430.43876600629727,430.43876600629727
14140,1,0,0,70.5726000030529,,70.5726000030529,70.5726000030529
14141,1,0,0,2903.231249995065,,2903.231249995065,2903.231249995065
14142,1,0,0,210.70339199367663,,210.70339199367663,210.70339199367663
14143,1,0,0,210.70339199367663,,210.70339199367663,210.70339199367663
14145,0,1,0,,,,
14146,1,7,0,73.10011879282104,,73.10011879282104,73.10011879282104
14148,1,0,0,32.382585998319676,,32.382585998319676,32.382585998319676
14150,1,0,0,968.9877179689431,,968.9877179689431,968.9877179689431
14151,1,0,0,55.946700003090356,,55.946700003090356,55.946700003090356
14152,1,0,0,75.61149999997014,,75.61149999997014,75.61149999997014
14153,1,0,0,33097.60815003407,,33097.60815003407,33097.60815003407
14154,1,0,0,59.208399993631865,,59.208399993631865,59.208399993631865
14155,1,0,0,78.09989999729956,,78.09989999729956,78.09989999729956
14156,1,0,0,480.2798624965016,,480.2798624965016,480.2798624965016
14157,1,0,0,53.20890000015104,,53.20890000015104,53.20890000015104
14158,1,0,0,56.84360000411515,,56.84360000411515,56.84360000411515
14159,1,0,0,200.50240450160123,,200.50240450160123,200.50240450160123
14160,1,0,0,3101.0846609845694,,3101.0846609845694,3101.0846609845694
14161,1,0,0,478.6554654941193,,478.6554654941193,478.6554654941193
14163,1,0,0,331.5348769934042,,331.5348769934042,331.5348769934042
14165,1,0,0,224.27922598746866,,224.27922598746866,224.27922598746866
14166,1,0,0,55.728550005014654,,55.728550005014654,55.728550005014654
14167,1,0,0,65.30663500297575,,65.30663500297575,65.30663500297575
14168,1,0,0,57.71000000699932,,57.71000000699932,57.71000000699932
14169,1,0,0,59.82990000018622,,59.82990000018622,59.82990000018622
14170,1,0,0,309.4032415048232,,309.4032415048232,309.4032415048232
14171,1,0,0,282.0778104960182,,282.0778104960182,282.0778104960182
14172,1,0,0,306.73571149188797,,306.73571149188797,306.73571149188797
14173,1,0,0,282.06571350523103,,282.06571350523103,282.06571350523103
14174,1,0,0,53.47585000025173,,53.47585000025173,53.47585000025173
14175,1,0,0,211.92971650354423,,211.92971650354423,211.92971650354423
14176,0,4,0,,,,
14178,1,0,0,246.99743450331547,,246.99743450331547,246.99743450331547
14179,1,0,0,56.52049999494589,,56.52049999494589,56.52049999494589
14180,1,0,0,346.84255099078644,,346.84255099078644,346.84255099078644
14181,1,0,0,63.21295000121054,,63.21295000121054,63.21295000121054
14182,1,0,0,57.158675994862776,,57.158675994862776,57.158675994862776
14183,1,0,0,213.17831799787115,,213.17831799787115,213.17831799787115
14185,1,0,0,447.41907149478266,,447.41907149478266,447.41907149478266
14186,1,0,0,46.47865000424999,,46.47865000424999,46.47865000424999
14187,1,0,0,174.49250655324028,,174.49250655324028,174.49250655324028
14188,1,0,0,51.51849999765958,,51.51849999765958,51.51849999765958
14189,1,0,0,46.42175000014369,,46.42175000014369,46.42175000014369
14190,1,0,0,46.117950000135444,,46.117950000135444,46.117950000135444
14191,1,0,0,45.59760000012912,,45.59760000012912,45.59760000012912
14192,1,0,0,41.594750001042904,,41.594750001042904,41.594750001042904
14193,1,0,0,483.6690100444568,,483.6690100444568,483.6690100444568
14194,1,0,0,20.474930997962694,,20.474930997962694,20.474930997962694
14195,1,0,0,25.44264999341234,,25.44264999341234,25.44264999341234
14196,1,0,0,162.0690000199229,,162.0690000199229,162.0690000199229
14197,1,0,0,247.52600000600597,,247.52600000600597,247.52600000600597
14198,1,0,0,4757.966134413373,,4757.966134413373,4757.966134413373
14199,1,0,0,81.39721999136464,,81.39721999136464,81.39721999136464
14200,1,0,0,365.6805850021177,,365.6805850021177,365.6805850021177
14201,1,0,0,15249.936499992928,,15249.936499992928,15249.936499992928
14202,1,0,0,2031.847227007406,,2031.847227007406,2031.847227007406
14203,1,0,0,2031.847227007406,,2031.847227007406,2031.847227007406
14205,1,0,0,44.976650002635076,,44.976650002635076,44.976650002635076
14206,1,0,0,194.24540001745623,,194.24540001745623,194.24540001745623
14207,1,0,0,237.31234999860615,,237.31234999860615,237.31234999860615
14208,1,0,0,50.76899999615017,,50.76899999615017,50.76899999615017
14209,1,0,0,51.207899995798584,,51.207899995798584,51.207899995798584
14210,1,0,0,35.38190000367062,,35.38190000367062,35.38190000367062
14211,1,0,0,51.57119200100547,,51.57119200100547,51.57119200100547
14212,1,0,0,41.89904999506572,,41.89904999506572,41.89904999506572
14214,1,0,0,4035.2116939673692,,4035.2116939673692,4035.2116939673692
14216,0,3,0,,,,
14217,1,0,0,119.86680999319648,,119.86680999319648,119.86680999319648
14218,1,0,0,74.3665735000087,,74.3665735000087,74.3665735000087
14219,1,0,0,114.82328350424754,,114.82328350424754,114.82328350424754
14220,3,0,0,169340.22479684695,200415.1725251116,20138.347000475547,397141.4937364452
14221,1,0,0,57.6718000035936,,57.6718000035936,57.6718000035936
14222,1,0,0,53.939500006869615,,53.939500006869615,53.939500006869615
14223,1,0,0,52.933500004815926,,52.933500004815926,52.933500004815926
14224,1,0,0,175.65353401119404,,175.65353401119404,175.65353401119404
14225,1,0,0,56.06990000018622,,56.06990000018622,56.06990000018622
14226,1,0,0,58.25504999500544,,58.25504999500544,58.25504999500544
14228,1,0,0,260.0798130060336,,260.0798130060336,260.0798130060336
14229,1,0,0,54.21249999508669,,54.21249999508669,54.21249999508669
14230,1,0,0,55.522800002074064,,55.522800002074064,55.522800002074064
14231,1,0,0,184.11738599949663,,184.11738599949663,184.11738599949663
14232,1,0,0,75.79500000165251,,75.79500000165251,75.79500000165251
14233,1,0,0,191.5563500000214,,191.5563500000214,191.5563500000214
14234,1,0,0,160.35999998608736,,160.35999998608736,160.35999998608736
14235,1,0,0,82142.15957158382,,82142.15957158382,82142.15957158382
14236,1,0,0,103.11774699447409,,103.11774699447409,103.11774699447409
14237,1,5,0,158.9424053841274,,158.9424053841274,158.9424053841274
14238,1,0,0,32.01591199956242,,32.01591199956242,32.01591199956242
14239,1,6,0,1655.7105998376378,,1655.7105998376378,1655.7105998376378
14240,1,0,0,407.12289998761685,,407.12289998761685,407.12289998761685
14241,1,0,0,217.25355000423735,,217.25355000423735,217.25355000423735
14242,1,0,0,67.21083100750738,,67.21083100750738,67.21083100750738
14243,1,0,0,374.4117260137545,,374.4117260137545,374.4117260137545
14244,1,0,0,70.1891594980454,,70.1891594980454,70.1891594980454
14245,1,0,0,48.77321900048503,,48.77321900048503,48.77321900048503
14248,1,0,0,56.14960000509011,,56.14960000509011,56.14960000509011
14249,1,0,0,70.30599549795384,,70.30599549795384,70.30599549795384
